epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,5483,0.86709,1.5177,0.68539,1.06705,0,0.6564,0.65424,0.62795,0.36786,0.67089,0.66766,0.63284,0.33434,1.58491,2.78196,1.48725,1.66934,0,0.000226267,0.000226267,0.000226267
71,5546.06,0.85309,1.49928,0.67685,1.06338,0,0.66457,0.62434,0.62365,0.36744,0.66355,0.63289,0.62176,0.33117,1.59663,2.75788,1.50752,1.69023,0,0.000219198,0.000219198,0.000219198
72,5609.36,0.86408,1.49303,0.68363,1.066,0,0.5674,0.73266,0.62288,0.36467,0.55931,0.72599,0.61787,0.32874,1.60181,2.79099,1.48298,1.68666,0,0.000212129,0.000212129,0.000212129
73,5673.07,0.85726,1.49626,0.66787,1.05803,0,0.58251,0.69041,0.60516,0.35347,0.58921,0.69845,0.61424,0.32525,1.62011,2.75769,1.49499,1.69265,0,0.000205061,0.000205061,0.000205061
74,5736.25,0.83716,1.46275,0.65119,1.05132,0,0.66415,0.66514,0.6877,0.38193,0.66896,0.67722,0.6985,0.34365,1.59945,2.78095,1.46954,1.6903,0,0.000197992,0.000197992,0.000197992
75,5799.87,0.83516,1.47632,0.6503,1.05217,0,0.78701,0.56459,0.68393,0.38256,0.7916,0.56781,0.6835,0.3351,1.60648,2.80942,1.49012,1.6917,0,0.000190924,0.000190924,0.000190924
76,5863.12,0.82999,1.46153,0.64331,1.04752,0,0.72397,0.63224,0.69794,0.3975,0.72956,0.63778,0.70087,0.35485,1.57833,2.79728,1.4831,1.66791,0,0.000183855,0.000183855,0.000183855
77,5926.15,0.82122,1.44912,0.63027,1.04522,0,0.67396,0.62644,0.68724,0.3913,0.67147,0.62541,0.68233,0.35031,1.59768,2.82691,1.51764,1.69,0,0.000176786,0.000176786,0.000176786
78,5989.42,0.82429,1.45664,0.6392,1.04632,0,0.68289,0.60473,0.68078,0.38826,0.67962,0.6082,0.67915,0.34828,1.59227,2.8354,1.53213,1.68777,0,0.000169718,0.000169718,0.000169718
79,6052.6,0.80415,1.414,0.62012,1.03321,0,0.66441,0.65635,0.69257,0.39399,0.66892,0.66145,0.69381,0.35576,1.59281,2.83772,1.48381,1.67599,0,0.000162649,0.000162649,0.000162649
80,6115.4,0.80323,1.41325,0.61072,1.03323,0,0.71446,0.62207,0.68344,0.38591,0.74307,0.60224,0.67838,0.34943,1.58662,2.8514,1.4917,1.68504,0,0.000155581,0.000155581,0.000155581
81,6178.7,0.7917,1.40625,0.61188,1.03292,0,0.62527,0.66186,0.69248,0.39731,0.62836,0.6645,0.68677,0.35377,1.57595,2.89733,1.51459,1.66833,0,0.000148512,0.000148512,0.000148512
82,6242.08,0.7971,1.40963,0.61243,1.03583,0,0.69815,0.62786,0.69544,0.38826,0.72312,0.61665,0.68603,0.34997,1.59099,2.84506,1.48389,1.69941,0,0.000141443,0.000141443,0.000141443
83,6305.18,0.78203,1.38971,0.59497,1.02602,0,0.63896,0.69342,0.69849,0.39457,0.63801,0.68629,0.69031,0.35599,1.5934,2.81049,1.49305,1.68447,0,0.000134375,0.000134375,0.000134375
84,6368.58,0.78478,1.38155,0.59818,1.02519,0,0.77473,0.56431,0.69864,0.39741,0.77656,0.57463,0.69698,0.3543,1.57208,2.86631,1.48914,1.67745,0,0.000127306,0.000127306,0.000127306
85,6431.79,0.78278,1.37105,0.59006,1.02185,0,0.70142,0.63192,0.70106,0.40169,0.73482,0.62446,0.69971,0.35271,1.56923,2.88459,1.45428,1.67335,0,0.000120238,0.000120238,0.000120238
86,6494.47,0.77242,1.38547,0.59212,1.01894,0,0.73947,0.59734,0.70033,0.40695,0.74671,0.60478,0.70204,0.36063,1.58286,2.84358,1.46558,1.68003,0,0.000113169,0.000113169,0.000113169
87,6557.82,0.7754,1.36027,0.58574,1.01907,0,0.61684,0.7111,0.63521,0.37909,0.64243,0.69349,0.63423,0.34231,1.55245,2.85034,1.45751,1.65399,0,0.0001061,0.0001061,0.0001061
88,6620.67,0.75477,1.35333,0.57541,1.01804,0,0.59855,0.69911,0.6892,0.40423,0.61327,0.69717,0.69865,0.3553,1.56102,2.90934,1.48237,1.6629,0,9.90318e-05,9.90318e-05,9.90318e-05
89,6683.76,0.76028,1.35447,0.58359,1.01692,0,0.63255,0.67966,0.69062,0.40462,0.63635,0.68198,0.69871,0.35846,1.55468,2.90823,1.48627,1.65655,0,9.19632e-05,9.19632e-05,9.19632e-05
90,6746.9,0.75787,1.34634,0.57275,1.01147,0,0.63282,0.68631,0.69058,0.40814,0.62513,0.6842,0.68656,0.36091,1.53803,2.8905,1.4833,1.64284,0,8.48946e-05,8.48946e-05,8.48946e-05
91,6811.98,0.68675,1.17559,0.45991,0.9775,0,0.72534,0.60059,0.69196,0.40345,0.72115,0.5999,0.69231,0.34991,1.57729,2.93303,1.45371,1.68992,0,7.7826e-05,7.7826e-05,7.7826e-05
92,6874.04,0.66374,1.13576,0.44031,0.96953,0,0.7152,0.59749,0.68851,0.40329,0.72001,0.60091,0.68369,0.36257,1.5616,2.9668,1.5089,1.67886,0,7.07574e-05,7.07574e-05,7.07574e-05
93,6936.84,0.6488,1.12709,0.43324,0.95985,0,0.67585,0.66481,0.71096,0.41321,0.66484,0.65725,0.70053,0.37063,1.55021,2.98919,1.47841,1.69241,0,6.36888e-05,6.36888e-05,6.36888e-05
94,6999.05,0.64772,1.11751,0.42312,0.96011,0,0.64571,0.6794,0.70028,0.41889,0.65108,0.68105,0.70628,0.37035,1.56009,2.96376,1.46709,1.69968,0,5.66202e-05,5.66202e-05,5.66202e-05
95,7062.14,0.63963,1.11169,0.42488,0.95318,0,0.77164,0.56907,0.69621,0.41069,0.78942,0.58275,0.70309,0.36831,1.5708,2.98696,1.47436,1.71311,0,4.95516e-05,4.95516e-05,4.95516e-05
96,7124.48,0.63013,1.09952,0.41395,0.95324,0,0.60452,0.69236,0.69195,0.40569,0.68982,0.63126,0.70144,0.36205,1.57326,2.99035,1.50468,1.7199,0,4.2483e-05,4.2483e-05,4.2483e-05
97,7186.75,0.61932,1.07526,0.40776,0.94755,0,0.7549,0.58684,0.69892,0.41162,0.77591,0.60208,0.70628,0.36462,1.5714,3.01532,1.49846,1.72129,0,3.54144e-05,3.54144e-05,3.54144e-05
98,7248.99,0.61985,1.0774,0.40844,0.94565,0,0.60962,0.70433,0.70063,0.40989,0.6349,0.7068,0.70909,0.37686,1.57196,3.03045,1.48374,1.7247,0,2.83458e-05,2.83458e-05,2.83458e-05
99,7311.41,0.61128,1.08835,0.40733,0.94739,0,0.62685,0.71139,0.70684,0.41225,0.6418,0.71255,0.71094,0.36936,1.57425,3.00652,1.4729,1.72691,0,2.12772e-05,2.12772e-05,2.12772e-05
100,7373.69,0.60292,1.07347,0.40351,0.94086,0,0.61607,0.70403,0.70179,0.40936,0.64294,0.70992,0.71331,0.37001,1.57624,3.01398,1.46877,1.72701,0,1.42086e-05,1.42086e-05,1.42086e-05
